Ethanol,Alcohol,Density,Sulphates,Price,Quality
Yes,8.8,1.001,0.45,4540,6
No,9.5,0.994,0.49,899,6
Yes,10.1,0.9951,0.44,3430,6
Yes,9.9,0.9956,0.4,4140,6
No,9.9,0.9956,0.4,2790,6
Yes,10.1,0.9951,0.44,4620,6
Yes,9.6,0.9949,0.47,4140,6
No,8.8,1.001,0.45,4620,6
Yes,9.5,0.994,0.49,3660,6
Yes,11,0.9938,0.45,2630,6
No,12,0.9908,0.56,2710,5
Yes,9.7,0.9947,0.53,3660,5
Yes,10.8,0.992,0.63,3660,5
No,12.4,0.9912,0.52,5575,7
Yes,9.7,1.0002,0.67,4220,5
Yes,11.4,0.9914,0.55,1910,7
No,9.6,0.9928,0.36,3420,6
Yes,12.8,0.9892,0.39,3660,8
Yes,11.3,0.9917,0.53,3100,6
No,9.5,0.9955,0.5,2780,5
Yes,12.8,0.9892,0.39,3743,8
Yes,11,0.9912,0.35,5256,7
No,10.5,0.993,0.48,2389,8
Yes,9.3,0.9937,0.51,3345,5
Yes,10,0.9951,0.47,3660,6
No,10.4,0.9955,0.5,3424,6
Yes,10,0.993,0.44,4778,6
Yes,10.5,0.9961,0.53,3105,6
No,11.6,0.9914,0.49,2707,6
Yes,12.3,0.9906,0.71,4778,7
Yes,10,0.9974,0.53,3982,6
No,10.2,0.9934,0.4,3150,6
Yes,10.8,0.992,0.44,4459,6
Yes,9,0.9939,0.51,2627,6
No,10.2,0.9962,0.37,3663,5
Yes,12.8,0.9905,0.42,2627,5
Yes,10,0.9934,0.35,4619,5
No,11.2,0.9906,0.28,2866,6
Yes,8.6,0.9999,0.36,2707,5
Yes,8.6,0.9999,0.36,2388,5
No,9.4,0.9937,0.36,3344,6
Yes,9.4,0.9937,0.34,2707,6
Yes,9.8,0.9954,0.46,2707,6
No,9.5,0.9934,0.56,3583,6
Yes,9.5,0.9934,0.56,3822,6
Yes,10,0.9931,0.53,2229,7
No,9.8,0.994,0.52,2229,4
Yes,9.8,0.9939,0.52,3424,5
Yes,9.8,0.9954,0.46,3424,6
No,9.8,0.995,0.48,4299,5
Yes,11.7,0.9917,0.44,3425,6
Yes,11,0.9914,0.58,499,7
No,10.9,0.991,0.46,539,7
Yes,10.9,0.9911,0.35,460,6
Yes,9.1,0.993,0.38,522,6
No,11,0.9908,0.52,210,6
Yes,9.6,0.9962,0.5,168,6
Yes,8.9,0.9972,0.36,161,6
No,10.2,0.9931,0.38,649,6
Yes,9.9,0.9926,0.34,390,6
Yes,8.6,0.9951,0.46,371,6
No,8.9,0.9972,0.36,467,6
Yes,10.5,0.991,0.34,393,5
Yes,10.2,0.9931,0.38,212,6
No,10.3,0.9927,0.46,199,6
Yes,9.1,0.9934,0.54,522,5
Yes,12.6,0.9903,0.49,539,7
No,9.8,0.992,0.42,330,5
Yes,10.7,0.9926,0.64,439,8
Yes,9.5,0.9962,0.35,529,5
No,9,0.9956,0.51,360,6
Yes,9.5,0.9958,0.6,178,5
Yes,10,0.9964,0.71,522,5
No,9.1,0.9941,0.49,220,6
Yes,10.7,0.9926,0.64,176,8
Yes,9.5,0.9962,0.35,285,5
No,12.7,0.9898,0.37,399,7
Yes,12,0.9912,0.65,148,7
Yes,9.3,0.9961,0.56,338,5
No,9,0.9949,0.37,338,5
Yes,10.6,0.9929,0.77,225,6
Yes,9.2,0.9985,0.6,425,6
No,10,0.9946,0.42,560,5
Yes,9.5,0.9966,0.46,522,6
Yes,8.7,0.9974,0.45,335,5
No,8.7,0.9975,0.46,529,6
Yes,8.7,0.9974,0.44,187,6
Yes,9.7,0.9972,0.48,478,6
No,8.7,0.9974,0.45,139,5
Yes,8.7,0.9975,0.46,487,6
Yes,8.7,0.9974,0.44,672,6
No,9,0.9957,0.47,361,5
Yes,12.6,0.99,0.4,699,7
Yes,12.6,0.9899,0.41,1650,7
No,11.5,0.9916,0.44,188,7
Yes,9.2,0.9969,0.42,414,6
Yes,8.8,0.9979,0.5,699,6
No,11.4,0.9913,0.36,1440,7
Yes,10.1,0.9956,0.3,90,4
Yes,8.8,0.9979,0.5,495,6
No,9.1,0.9975,0.44,1150,5
Yes,9.4,0.9962,0.41,621,5
Yes,9.4,0.997,0.39,446,5
No,9,1,0.46,278,5
Yes,9.1,0.9975,0.44,749,5
Yes,9.2,0.9974,0.35,657,6
No,9.4,0.9962,0.41,1650,5
Yes,9.1,0.999,0.59,399,6
Yes,9.1,0.999,0.59,1562,6
No,10.3,0.9927,0.6,2695,5
Yes,8.8,0.9959,0.39,2423,6
Yes,8.9,1,0.52,2705,5
No,9.2,0.9982,0.47,4417,5
Yes,9.1,0.9968,0.51,2692,5
Yes,9.1,0.9968,0.51,2638,5
No,9.7,0.994,0.4,2207,4
Yes,11.3,0.9914,0.44,2153,6
Yes,11.8,0.9911,0.42,2395,6
No,9.2,0.9982,0.47,2692,5
Yes,9.2,0.9982,0.5,3770,5
Yes,10.2,0.9934,0.51,3343,5
No,8.8,0.9984,0.54,1938,5
Yes,9.7,0.9952,0.34,1281,5
Yes,9.1,0.9952,0.36,5270,6
No,9.8,0.9928,0.36,2854,6
Yes,11,0.9912,0.48,12188,6
Yes,10.5,0.994,0.42,6086,5
No,9.7,0.9958,0.54,3392,7
Yes,10.9,0.9924,0.57,1484,7
Yes,10.9,0.9924,0.57,2156,6
No,10.6,0.994,0.37,1615,5
Yes,9.7,0.9958,0.54,1346,7
Yes,9,0.9979,0.57,1785,5
No,9.2,0.9982,0.51,1990,5
Yes,8.9,0.9961,0.52,1938,5
Yes,9.6,0.9979,0.56,592,5
No,10.7,0.992,0.38,2854,6
Yes,8.7,0.9975,0.44,4260,5
Yes,10.8,0.9917,0.54,3985,7
No,11.8,0.9923,0.52,1454,6
Yes,10.2,0.9927,0.43,3716,5
Yes,8.7,0.9975,0.44,1022,5
No,10.8,0.992,0.54,4201,6
Yes,9.7,0.9947,0.53,3501,6
Yes,11.2,0.9921,0.54,1884,6
No,10.9,0.9905,0.39,3123,6
Yes,10.1,0.9918,0.37,4367,6
Yes,9,0.9951,0.36,1841,4
No,12,0.9917,0.58,1669,7
Yes,9.4,0.994,0.38,4491,6
Yes,11.5,0.9934,0.32,1776,7
No,9.9,0.9968,0.43,2477,6
Yes,9.4,0.994,0.38,5655,6
Yes,10.4,0.9919,0.45,1938,5
No,9.7,0.9966,0.84,4734,6
Yes,8.9,0.9979,0.42,4570,6
Yes,8.9,0.9979,0.42,4632,6
No,12.4,0.9898,0.42,3824,7
Yes,12.1,0.9894,0.33,2907,8
Yes,12.1,0.9894,0.33,3978,8
No,12.4,0.9898,0.42,1358,7
Yes,9.1,0.998,0.4,1130,5
Yes,10.6,0.9932,0.39,4313,5
No,8.9,0.9979,0.42,484,6
Yes,9.5,0.997,0.5,2585,5
Yes,9.8,0.9972,0.49,1237,5
No,9.6,0.9974,0.59,1401,6
Yes,12.6,0.9896,0.44,3343,7
Yes,9.3,0.9968,0.54,1350,5
No,10,0.9958,0.29,1994,5
Yes,12.7,0.9906,0.54,2315,6
Yes,11,0.9917,0.39,1669,6